3.485119211016838676e+02 1.386300000000000000e+04
1.820169278898906668e+03 4.770000000000000000e+03
-1.421189541520706712e+02 1.236000000000000000e+04
-1.269464004798614224e+04 6.493000000000000000e+03
1.589755347525745037e+02 2.244300000000000000e+04
2.313238388833385670e+02 1.388100000000000000e+04
3.561507788627870468e+03 4.145000000000000000e+03
4.692896824138983902e+03 2.157500000000000000e+04
6.527163636710720311e+03 1.352300000000000000e+04
5.338702329224634923e+03 1.216900000000000000e+04
4.314524891543829654e+03 8.328000000000000000e+03
1.021119067023488060e+04 7.222000000000000000e+03
2.524964479265422597e+03 1.969000000000000000e+04
8.160438053232076527e+03 5.360000000000000000e+03
